Disease Name,Image URL,Pest Type,Origin,Legal Content,Secure any content
                                                            Xylella (Xylella fastidiosa)                                    ,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/xylella-1.jpg,PLANT PEST,Origin: Americas,"All Australians and international tourists have a role to keep out exotic pests and diseases. Xylella is present in a number of countries. Australia remains free of this exotic pest. We need your help to keep it this way.,Check what you can and cannot bring into Australia, whether you are a:,There is no evidence of xylella being successfully eradicated once it has established. For this reason, preventing the entry of this pathogen into Australia is vital.,Some items, by law, are subject to certain import conditions to be allowed into Australia. Please check the 
         Biosecurity Import Condition System (BICON).,Be aware of any xylella biosecurity measures that may be in place for incoming goods and conveyances. 
         Industry advice notices are reviewed regularly and could change.","Containment is critical. This could be as easy as bagging a suspect plant specimen that has symptoms or stopping an insect escaping by closing the doors on a shipping container., Controlling vectors and removing infected plant material are the only control options, in conjunction with movement restrictions on infected plant material, to limit its spread. Identification and use of resistant plant stock may provide a long term management option, as the disease would be nearly impossible to eradicate."
Hessian fly,http://www.planthealthaustralia.com.au/wp-content/uploads/2013/04/Hessian-fly-1.jpg,,,,
Black sigatoka,,,,,
Texas root rot,http://www.planthealthaustralia.com.au/wp-content/uploads/2013/03/Texas-root-rot-2.jpg,,,,
                                                            Huanglongbing (Candidatus ​Liberibacter asiaticus)                                    ,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/huanglongbing-1.jpg,PLANT PEST,"Origin: Asia and  Africa ,          ","All Australians and international tourists have a role to  keep out exotic pests and diseases.,Huanglongbing and  its insect vectors are present in a number of countries. Australia  remains free of both the exotic vectors and the disease-causing bacterium. We  need your help to keep it this way.,  Check what you can and cannot bring into Australia, whether  you are a:,The only way to rid citrus orchards of the  disease is to replace infected trees and control insect vectors, so the cost of  an outbreak to Australia’s citrus industry would be enormous. If huanglongbing  established in Australia, most backyard citrus trees would not survive for more  than a few years.,Some items, by law, are subject to certain import conditions  to be allowed into Australia. Please check the 
         Biosecurity  Import Condition System (BICON).,  Be aware of any relevant biosecurity measures that may be in  place for incoming goods and conveyances. 
         Industry advice  notices are reviewed regularly and could change.","Containment is critical. This could be as easy as bagging a  suspect plant specimen that has symptoms or stopping an insect escaping by  closing the doors on a shipping container.,Controlling  vectors and removing infected plant material are the only control options, in  conjunction with movement restrictions on infected plant material, to limit its  spread. Identification and use of resistant plant stock may provide a long term  management option, as the disease would be nearly impossible to eradicate. "
                                                            Ug99 (Puccinia graminis f.sp. tritici)                                    ,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/12-ug99.jpg,PLANT PEST,"Origin: Uganda, ","All Australians and international tourists have a role to  keep out exotic pests and diseases.,Australia remains free of this exotic pest. We  need your help to keep it this way.,  Check what you can and cannot bring into Australia, whether  you are a:,Australia has a well-deserved reputation for  marketing quality wheat to the world. This favorable status depends on good  biosecurity practices, including growers and grain handlers inspecting their  wheat, and taking action if they see any problems.,Some items, by law, are subject to certain import conditions  to be allowed into Australia. Please check the 
        Biosecurity  Import Condition System (BICON).,Be  aware of any Ug99 biosecurity measures that may be in  place for incoming goods and conveyances. 
        Industry advice  notices are reviewed regularly and could change.","Containment  is critical.,If  you suspect you have seen Ug99 in cereal crops, take a photo and record  the location."
Potato late blight,,,,,
                                                            Exotic bees                                    ,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/exotic-bees.jpg,PLANT PEST,"Origin: Varies, depending on the species, ","Find out what can legally come into Australia.,Exotic bees can come from all over the world. Australia remains free of most of these pests. We need your help to keep it this way.
      Check what you can and cannot bring into Australia, whether you are a:,Some items, by law, are subject to certain import conditions to be allowed into Australia. Please check the Biosecurity Import Condition System (BICON)., Be aware of any exotic bee biosecurity measures that may be in place for incoming goods and conveyances. Industry advice notices are reviewed regularly and could change.","Containment is critical. If you work around imported goods or at a port or airport, report any bee swarms. If you see bees that you don’t think are European honey bees, or suspicious hives, take a photo to help with identification, and secure the site if possible. Bees can be dangerous to humans, so do not attempt to interfere with them or their nests."
Formosan subterranean termite,,,,,
Plum pox virus,http://www.planthealthaustralia.com.au/wp-content/uploads/2013/04/Plum-pox-virus-0660085.jpg,,,,
Citrus longicorn beetle,http://www.planthealthaustralia.com.au/wp-content/uploads/2013/03/citrus-longhorned-beetle-1265100.jpg,,,,
                                                            Citrus canker (Xanthomonas citri subsp. citri)                                    ,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/citrus-canker-3.jpg,PLANT PEST,Origin: South East Asia,"All  Australians and international tourists have a role to keep out exotic pests and  diseases.,Australia  remains free of this exotic pest. We need your help to keep it this way.      ,  Check what you can and cannot bring into Australia, whether  you are a:,The only way to  rid citrus orchards of the disease is to replace infected trees, so the cost of  an outbreak to Australia’s citrus industry would be enormous. If citrus canker established  in Australia, citrus trees could become weak, unproductive and unprofitable.      ,Some items, by law, are subject to certain import conditions  to be allowed into Australia. Please check the 
         Biosecurity  Import Condition System (BICON).,Be  aware of any citrus canker biosecurity measures that may be in  place for incoming goods and conveyances. 
         Industry advice  notices are reviewed regularly and could change.","Containment  is critical.,Look out  for scabby marks on leaves and fruit. If you think you see evidence of citrus  canker take a photo and record the location."
                                                            Airborne phytophthora                                    ,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/airborne-phytophthora.4a.jpg,PLANT PEST,Origin: Asia,"All Australians and international tourists have a role to keep out exotic pests and diseases. Xylella is present in a number of countries.,Australia remains free of this exotic pest. We need your help to keep it this way.,Check what you can and cannot bring into Australia, whether you are a:,Let’s protect our nursery stock and native species that could be affected by these invasive pathogen.,Some items, by law, are subject to certain import conditions to be allowed into Australia. Please check the 
         Biosecurity Import Condition System (BICON).","Containment is critical.,It is important to not move samples to reduce the risk of spread. Take a photo, record the location and get it checked by an expert."
                                                            Giant African snail (Lissachatina fulica)                                    ,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/giant-african-snail-1.jpg,PLANT PEST,Origin: Eastern Africa,"All Australians and international tourists have a role to  keep out exotic pests and diseases.,Giant African snails have become established in a range of  overseas countries. Australia remains free of this exotic pest and we need your  help to keep it this way.,  Check what you can and cannot bring into Australia, whether  you are a:,Giant African snails cannot be brought into Australia by  travellers as pets or by purchasing online giant African snail kits.,Some items, by law, are subject to certain import conditions  to be allowed into Australia. Please check the 
         Biosecurity  Import Condition System (BICON).,  Be aware of any giant African snail biosecurity measures  that may be in place for incoming goods and conveyances. 
         Industry advice  notices are reviewed regularly and could change.","Containment is critical. Giant African snails do not move  fast, but you must contain one if you see it.,Wear gloves to collect individual snails or eggs and place  them in a sealed container. Inspect the area where you found the snail and try  to trace it to the source."
                                                            Zebra chip (Candidatus Liberibacter solanacearum)                                    ,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/zebra-chip-1.jpg,PLANT PEST,"Origin: Mexico, ","All Australians and international tourists have a role to  keep out exotic pests and diseases.,Zebra chip and its insect vector are present in  a number of countries. Australia remains free of both the exotic vector and the  disease-causing bacterium. We need your help to keep it this way.,  Check what you can and cannot bring into Australia, whether  you are a:,Zebra chip has the potential to severely reduce the  yield and quality of crops. Zebra chip has caused widespread impacts in both  New Zealand and the United States, costing the international potato industry  millions of dollars.      ,Some items, by law, are subject to certain import conditions  to be allowed into Australia. Please check the 
         Biosecurity  Import Condition System (BICON).,Be  aware of any zebra chip and insect vector biosecurity measures that may be in  place for incoming goods and conveyances. 
         Industry advice  notices are reviewed regularly and could change.","Containment  is critical. This could be as easy as bagging a suspect plant specimen that has  symptoms or stopping an insect escaping by closing the doors on a shipping  container.,Controlling  vectors and removing infected plant material are the only control options, in  conjunction with movement restrictions on infected plant material, to limit its  spread.   "
Yellow top borer of sugarcane,,,,,
                                                            Gypsy moths (Lymantria spp.)                                    ,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/exotic-gypsy-moths-1.jpg,PLANT PEST,"Origin: China, East Russia, Southern Europe and Northern Africa ,          , ","All Australians and international tourists have a role to  keep out exotic pests and diseases.,Gypsy moths are native to northern hemisphere countries. Australia  remains free of this exotic pest. We need your help to keep it this way.,  Check what you can and cannot bring into Australia, whether  you are a:,While all gypsy moth species pose a biosecurity risk to  Australia, the risk of entry and establishment varies depending on the biology  of each species. The female European gypsy moth cannot fly, potentially  limiting the distance over which it can spread. However, even flightless gypsy  moths can potentially spread through the ballooning of larvae. The females of  other species are capable of flying, allowing them to lay their eggs on cargo, ships  and aircrafts, which may disperse them internationally.,  Gypsy moths can spread via numerous pathways, including:,Some items, by law, are subject to certain import conditions  to be allowed into Australia. Please check the 
         Biosecurity  Import Condition System (BICON).,  Be aware of any gypsy moth biosecurity measures that may be  in place for incoming goods and conveyances. 
         Industry advice  notices are reviewed regularly and could change.","Containment is crucial. If you suspect you’ve seen a gypsy  moth, take a photo and record the location.,Inspect area for egg masses and place them in a sealed  container."
                                                            Guava rust (Puccinia psidii sensu lato)                                    ,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/guava-rust-1.jpg,PLANT PEST,"Origin: Brazil, ","All  Australians and international tourists have a role to keep out exotic pests and  diseases.,Australia  remains free of this exotic disease. We need your help to keep it this way.      ,  Check what you can and cannot bring into Australia, whether  you are a:,Guava rust and myrtle rust combined would have serious combined  impact on our eucalyptus trees if Guava rust were to enter Australia. We do not  want to further endanger our iconic eucalyptus species through introduction of  this pathogen.,Some items, by law, are subject to certain import conditions  to be allowed into Australia. Please check the 
         Biosecurity  Import Condition System (BICON).,Be  aware of any guava rust biosecurity measures that may be in  place for incoming goods and conveyances. 
         Industry advice  notices are reviewed regularly and could change.","Containment  is critical.,        In as little of 10 days the fungus can produce thousands of  spores. Spores can spread very easily through the movement of infected plant  material, clothing, equipment and wind.,      It is important to not move samples to reduce the risk of  spread. Take a photo, record the location and get it checked by an expert. ,"
                                                            Brown marmorated stink bug (Halyomorpha halys)                                    ,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/brown-marmorated-stinkbug-1.jpg,PLANT PEST,Origin: East Asia,"All Australians and international tourists have a role to  keep out exotic pests and diseases.,Brown marmorated stink bug is native to East Asia and has  been introduced to the United States and parts of Western Europe. Australia  remains free of this exotic pest. We need your help to keep it this way.,  Check what you can and cannot bring into Australia, whether  you are a:,Hitchhiker pests can arrive in Australia on goods, vessels or  personal effects, and may be more common during certain times of the year.,Some items, by law, are subject to certain import conditions  to be allowed into Australia. Please check the 
         Biosecurity  Import Condition System (BICON).,  Be aware of any brown marmorated stink bug biosecurity measures that may be in place  for incoming goods and vessels. 
         Industry advice  notices are reviewed regularly and could change.","Containment is critical.,  The bug is a strong flier, covering distances of up to 2 km.  Therefore, if it does get here, it is important to take immediate action. Try  to contain the bug without disturbing it – this may be as simple as closing the  doors on a shipping container.,  If you suspect you have seen a brown marmorated stink bug,  take a photo and report the location. Inspect the area where you found the bug  and try to trace it to the source."
                                                            Leaf miner                                    ,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/leaf-miner.jpg,PLANT PEST,,"All Australians and international tourists have a role to keep out exotic pests and diseases.,Australia remains free of this exotic pest. We need your help to keep it this way., Check what you can and cannot bring into Australia, whether you are a:,Leaf miners can quickly establish into most crops and can affect them at any part of their growth stages.,Some items, by law, are subject to certain import conditions to be allowed into Australia. Please check the Biosecurity Import Condition System (BICON).,Be aware of any leaf miner biosecurity measures that may be in place for incoming goods and conveyances. Industry advice notices are reviewed regularly and could change.","Containment is critical., Alert the department if you see tracks in the leaves of castor oil plants or vegetables such as tomatoes, pumpkins, lettuce or melons."
                                                            Russian wheat aphid (Diuraphis noxia)                                    ,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/russian-wheat-aphid-1.jpg,PLANT PEST,"Origin: Central Asia and southern Russia, ","All Australians and international tourists have a role to  keep out exotic pests and diseases.    ,  Check what you can and cannot bring into Australia, whether  you are a:,The Russian wheat aphid is widespread in grain growing  regions of the world. Australia remains free of the holocyclic form which  produces males and females. It is important to prevent this form from establishing  in Australia, as it will allow the aphid to overwinter as eggs.     ,Some items, by law, are subject to certain import conditions  to be allowed into Australia. Please check the 
        Biosecurity  Import Condition System (BICON).,Be  aware of any Russian wheat aphid biosecurity measures that may be in  place for incoming goods and conveyances. 
        Industry advice  notices are reviewed regularly and could change.",Containment  is critical. This could be as easy as bagging a suspect plant specimen  that has symptoms or stopping an insect escaping by closing the doors on a  shipping container.
Eurogaster integriceps,http://www.planthealthaustralia.com.au/wp-content/uploads/2013/04/Sunn-pest-1.jpg,,,,
                                                            Karnal bunt                                    ,http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/karnal-bunt-1.jpg,PLANT PEST,Origin: India,"All Australians and international tourists have a role to  keep out exotic pests and diseases. Australia remains free of Karnal bunt and we  need your help to keep it this way.,  Check what you can and cannot bring into Australia, whether  you are a:,Australia is one  of the world’s most reputable producers of high quality wheat. This favorable  status depends on good biosecurity practices, including growers and grain handlers  inspecting their wheat, and taking action if they see any problems.,
Protect your farm from biosecurity risks and learn about import restrictions and  biosecurity measures.,  Some items, by law, are subject to certain import conditions  to be allowed into Australia. Please check the 
         Biosecurity  Import Condition System (BICON).,  Be aware of any Karnal bunt biosecurity measures that may be in place for incoming goods  and conveyances. 
         Industry advice  notices are reviewed regularly and could change.","Containment is critical. This can be as easy as isolating  suspect grain and not mixing it with other grain. If you see any grain that you suspect has Karnal bunt, take a two cup  grain sample and report it."
Pinewood nematode,http://www.planthealthaustralia.com.au/wp-content/uploads/2015/08/Pinewood-nematode-beetle-vectors.jpg,,,,
Fusarium oxysporum f. sp. vasinfectum,http://www.planthealthaustralia.com.au/wp-content/uploads/2013/03/fusarium-wilt-1436005.jpg,,,,
"                                                            Internal and external mites of bees (Acarapsi woodi, Tropilaelaps spp., Varroa spp.)                                    ",http://www.agriculture.gov.au/SiteCollectionImages/pests-diseases-weeds/mites-bees-1.jpg,PLANT PEST,"Origin: Asia (tropilaelaps and varroa mites), unknown (tracheal)","All Australians and international tourists have a role to  keep out exotic pests and diseases.,Bee mites are widespread around the world. Australia remains  free of these exotic pests. We need your help to keep it this way.,  Check what you can and cannot bring into Australia, whether  you are a:,Bee mites are transported on bees, and could be introduced  into Australia on exotic bees such as Africanised, Asian, Cape, dwarf or giant  honey bees, as well as exotic European honey bees. These bees can hitchhike to  Australia on many pathways such as goods, conveyances or personal effects.,  Bee mites can spread via numerous pathways, including:,Varroa  mites have also been observed on other flower feeding insects, such as:,This indicates they may be  able to spread short distances on such insects. ,Some items, by law, are subject to certain import conditions  to be allowed into Australia. Please check the 
         Biosecurity  Import Condition System (BICON).,  Be aware of any relevant biosecurity measures that may be in place for incoming goods and  conveyances. 
         Industry  advice notices are reviewed regularly and could change.","Containment is crucial. If you suspect you’ve seen a mite or  symptoms of mites in your hive, take a photo and secure the bees in the hive.,Gardeners can keep an eye out for bees that do not look  healthy or appear to be carrying round brown discs on their body."
